"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AMZ2",8.17586243964781e-20,-0.111715397965991,0.258,0.198,2.74202074500908e-15
"NMU",8.22029645554806e-20,0.221098038876833,0.037,0.017,2.75692302526171e-15
"METTL23",8.562285562257e-20,-0.208501677481062,0.297,0.228,2.87161933186975e-15
"AP001816.1",8.58997331240115e-20,0.405798488023192,0.063,0.036,2.8809052495131e-15
"SRR",8.65600146824284e-20,0.476278323042587,0.073,0.045,2.90304977241928e-15
"ZNF883",8.68266240323274e-20,0.31696408426196,0.107,0.073,2.9119913167962e-15
"HIC2",8.80061528951651e-20,0.106777240462931,0.098,0.065,2.95155035579805e-15
"TESPA1",9.27276404491418e-20,-3.1009841177374,0.004,0.015,3.10989960538332e-15
"PRUNE1",9.41695240093936e-20,0.233270107928427,0.11,0.075,3.15825749622704e-15
"TIMM8A",9.56334242559639e-20,-0.196657146170933,0.207,0.154,3.20735378269652e-15
"CALB1",9.56368977694429e-20,2.81379388003397,0.012,0.002,3.20747027739157e-15
"CTNND2",9.70501759339364e-20,-2.55173692795371,0.015,0.033,3.25486880047236e-15
"VDR",9.99830399494858e-20,-1.4582111214843,0.025,0.047,3.35323119382585e-15
"RUNX1",1.00982588273481e-19,-0.112684163536396,0.33,0.262,3.38675404551602e-15
"UBAC2",1.03767921265469e-19,-0.210880967776497,0.287,0.221,3.48016854340129e-15
"MRPL22",1.04381682400164e-19,-0.13240297898105,0.426,0.327,3.5007528643367e-15
"REEP3",1.08203980365413e-19,-0.16618473214845,0.405,0.321,3.62894509349523e-15
"LRCH2",1.14050712735605e-19,0.293279450549941,0.085,0.054,3.82503280372672e-15
"ZNF777",1.15569000256034e-19,0.101244062202341,0.099,0.066,3.87595313058688e-15
"RNF26",1.18521471570586e-19,0.178122273820689,0.158,0.116,3.97497311353431e-15
"ZSWIM9",1.18588860098723e-19,0.181842359405987,0.099,0.066,3.97723318999097e-15
"OTUD5",1.21777334393639e-19,-0.142028593615917,0.249,0.19,4.08416824089385e-15
"MRPS12",1.23250033488721e-19,-0.137814780523923,0.426,0.327,4.13355962314471e-15
"BBS9",1.23883613940768e-19,0.297453472056096,0.073,0.044,4.15480864434549e-15
"NPM2",1.2759611144818e-19,0.713431456168117,0.051,0.028,4.27931838574907e-15
"MIR34AHG",1.29936706804733e-19,0.551451491765333,0.042,0.021,4.35781727281714e-15
"NCKAP5",1.31780511958182e-19,-1.52639467419026,0.056,0.085,4.41965481005352e-15
"ARRB1",1.3259407112144e-19,-1.21403496548651,0.059,0.089,4.44693995727087e-15
"TRPC3",1.3269326760414e-19,1.57602520474603,0.018,0.006,4.45026680890766e-15
"STIM2",1.3303813457751e-19,0.1924492124791,0.217,0.166,4.46183295746052e-15
"AC008764.8",1.40201407332295e-19,0.101409149782,0.044,0.023,4.70207479911052e-15
"EVC",1.45393460123779e-19,1.20420167394477,0.043,0.022,4.87620586563129e-15
"MBTPS2",1.50490656231549e-19,0.308507006852445,0.134,0.096,5.04715562869367e-15
"NANP",1.551109064019e-19,0.213139295094569,0.094,0.062,5.20210957890693e-15
"CDK8",1.60983543520466e-19,0.162827271395339,0.129,0.092,5.39906608258939e-15
"SYVN1",1.62801514811168e-19,0.128982812270367,0.153,0.111,5.46003720373694e-15
"DHRS11",1.66379987086518e-19,0.13779448880238,0.115,0.08,5.58005200690763e-15
