"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"GNB5","OK",9.31128944794923e-32,11.6677770479368,0.0223668603434422,"GNB5",2.5362044718501e-31
"AC023906.3","OK",0.650142942052852,-0.385706408819753,-0.000750346417995676,"AC023906.3",0.660866354695495
"AC023906.4","FAIL",NA,NA,NA,"AC023906.4",1
"CERNA1","OK",0.102192146860414,1.26915918814134,0.00229909899034842,"CERNA1",0.148575604416197
"MYO5C","OK",1.1310350643558e-243,33.3160372214632,0.0637541257997234,"MYO5C",5.83600201272307e-243
"MYO5A","OK",2.14517911685325e-95,20.6896817048513,0.0397121734421643,"MYO5A",8.02603307397997e-95
"ARPP19","OK",0,74.425914363048,0.143098426702728,"ARPP19",0
"AC025917.1","OK",0.0101215544251005,2.32181110848185,0.00282065796034756,"AC025917.1",0.0158856725304535
"FAM214A","OK",0,48.9393474052418,0.0939840612298308,"FAM214A",0
"ONECUT1","OK",4.54888205318618e-10,6.12448454944659,0.0112487531900201,"ONECUT1",9.27287675152533e-10
"AC016044.1","OK",0.513685059155302,-0.0343100865664913,-8.66122420894562e-05,"AC016044.1",0.605471518153607
"LINC02490","FAIL",NA,NA,NA,"LINC02490",1
"WDR72","OK",0.00422429372505429,2.63359629640187,0.0045465735089843,"WDR72",0.00677822541200366
"AC084759.2","FAIL",NA,NA,NA,"AC084759.2",1
"UNC13C","OK",0.301814811480785,0.519188033575423,0.000762201534966278,"UNC13C",0.413520907658024
"AC025272.1","FAIL",NA,NA,NA,"AC025272.1",1
"RSL24D1","OK",0,142.753667688043,0.274531526764256,"RSL24D1",0
"RAB27A","OK",0,90.3383567855446,0.173547673933428,"RAB27A",0
"PIGBOS1","OK",1.08423634255426e-23,9.96501218691626,0.0191106213945491,"PIGBOS1",2.7252952982073e-23
"PIGB","OK",0.375073258174111,0.318446176097992,0.000566079683513802,"PIGB",0.504864709256469
"CCPG1","OK",0,76.0719677981648,0.146244356199626,"CCPG1",0
"C15orf65","OK",0.00208585630816152,2.86487698901318,0.00543186419320353,"C15orf65",0.0034021026338501
"DNAAF4","OK",8.64360627778464e-67,17.2248510656985,0.0330017933732234,"DNAAF4",2.91465872692762e-66
"PYGO1","OK",5.61734039830593e-69,17.5138430379306,0.0335397709968243,"PYGO1",1.91054759249358e-68
"PRTG","OK",0,44.5037054890779,0.0853612014362068,"PRTG",0
"AC012378.1","FAIL",NA,NA,NA,"AC012378.1",1
"NEDD4","OK",8.32950455915584e-145,25.5965668491083,0.0490998340807197,"NEDD4",3.59632565806924e-144
"RFX7","OK",2.22714786016707e-09,5.86637358759049,0.0112069568537389,"RFX7",4.4638588552299e-09
