"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"EIF2AK4","OK",4.54073378297168e-41,13.3697753796801,0.025654497806294,"EIF2AK4",1.3271537074859e-40
"SRP14","OK",0,114.149663988576,0.219509591282794,"SRP14",0
"SRP14-AS1","OK",0.00116792338596978,3.04383311586044,0.00578181162148521,"SRP14-AS1",0.00192825550971076
"BMF","OK",1.20792196481236e-10,6.33226735559637,0.0120576886624457,"BMF",2.49646450025093e-10
"BUB1B","OK",0,50.5630585125897,0.0966439761908297,"BUB1B",0
"PLCB2","OK",0,44.0262504356358,0.0844693425131871,"PLCB2",0
"INAFM2","OK",5.68913334600989e-226,32.070479530857,0.061534402299165,"INAFM2",2.86113916838638e-225
"CCDC9B","OK",3.73800610214769e-10,6.15567133473513,0.0116882377400723,"CCDC9B",7.63596578415874e-10
"DISP2","OK",8.01789094369759e-51,14.9480579357306,0.0284648299507151,"DISP2",2.48829055807488e-50
"KNSTRN","OK",0,66.7033883976934,0.127892688007509,"KNSTRN",0
"IVD","OK",7.97536645028794e-56,15.6966241647906,0.0301208682486495,"IVD",2.54561335628667e-55
"BAHD1","OK",7.32526970212373e-05,3.79691940649439,0.00723593337440727,"BAHD1",0.000127752541418204
"CHST14","OK",5.06300269848787e-06,4.41446509022987,0.00842817107163128,"CHST14",9.21762701466848e-06
"CCDC32","OK",8.14571780055774e-09,5.64737695607711,0.0108081228770802,"CCDC32",1.60670602457828e-08
"KNL1","OK",0,69.505593055535,0.132717712696385,"KNL1",0
"RAD51","OK",0.000352920730143445,3.38730005152412,0.00572250705541088,"RAD51",0.000597028182818502
"RMDN3","OK",5.57791454869337e-13,7.11543762392983,0.0136229991270608,"RMDN3",1.20663331715041e-12
"GCHFR","OK",0,66.7184680270354,0.127834504649804,"GCHFR",0
"DNAJC17","OK",5.92951812854614e-07,4.85797836705048,0.00928653409109005,"DNAJC17",1.11337480593068e-06
"ZFYVE19","OK",2.22307171159039e-33,11.9814250778187,0.0229526598295496,"ZFYVE19",6.13675890508677e-33
"SPINT1","OK",2.16057385365191e-60,16.3504027103552,0.0310600079524288,"SPINT1",7.06439545403426e-60
"VPS18","OK",2.28224125221505e-06,4.58386992333739,0.00875082605936524,"VPS18",4.20697476987951e-06
"DLL4","OK",0,177.027595301856,0.339657798750258,"DLL4",0
"CHAC1","OK",3.23249567552057e-10,6.178655204991,0.0116478560013272,"CHAC1",6.61349724003016e-10
"INO80","OK",3.63607436291014e-20,9.12352236681559,0.0174851008572677,"INO80",8.76287316105869e-20
"CHP1","OK",9.56148171009131e-42,13.4851679142694,0.0258716510153303,"CHP1",2.80991847947489e-41
"OIP5","OK",1.59656276103739e-81,19.0877357922847,0.0363598180400905,"OIP5",5.7098412251289e-81
"NUSAP1","OK",0,173.030974235827,0.332414555573196,"NUSAP1",0
"NDUFAF1","OK",0.000519199002269349,3.27991110350079,0.00625539502512188,"NDUFAF1",0.000871532368886601
"RTF1","OK",1.0481250396635e-132,24.4857321413074,0.0470458588815067,"RTF1",4.38272059551398e-132
"ITPKA","OK",2.87720647079986e-09,5.82374275168106,0.0109545158315034,"ITPKA",5.7512185807281e-09
"LTK","OK",6.83565035533805e-10,6.0593025796522,0.0114286638186323,"LTK",1.38760894625635e-09
"RPAP1","OK",0.000109802866634104,3.69532495797961,0.00704183021920818,"RPAP1",0.000189997326586066
"TYRO3","OK",0,188.284863402782,0.36157043143708,"TYRO3",0
"MGA","OK",1.12352425385544e-38,12.9534235616092,0.0247829287546055,"MGA",3.22803514677764e-38
"MAPKBP1","OK",2.33813881643529e-26,10.5577722918794,0.0202096718882452,"MAPKBP1",6.03040284529499e-26
"PLA2G4B","OK",7.19649787827787e-05,3.80131538778827,0.00680555616703411,"PLA2G4B",0.000125532820428977
"SPTBN5","OK",4.52311845391262e-20,9.09984316098066,0.01726072563136,"SPTBN5",1.0882944229603e-19
"AC020659.1","OK",3.70888252112428e-79,18.800948728324,0.035500888661459,"AC020659.1",1.3139296251224e-78
"EHD4","OK",0,136.452784923403,0.262282194767203,"EHD4",0
"VPS39","OK",2.05167879192066e-08,5.4863447331188,0.0104925698159713,"VPS39",4.00795285043417e-08
"TMEM87A","OK",0,55.97046503276,0.10757115020877,"TMEM87A",0
"GANC","OK",6.90600125978416e-09,5.67570326515052,0.010837670030762,"GANC",1.36559714249721e-08
